cod_ibge,nome,porcentagem_pop_urbana_2010,densidade_demografica_2010,area_km2
1500503,ALMEIRIM,59.39,0.46,72954.8
1500602,ALTAMIRA,84.88,0.62,159533.31
1500701,ANAJÁS,38.35,3.58,6913.64
1500800,ANANINDEUA,99.75,2477.56,190.581
1500859,ANAPU,47.87,1.73,11895.27
1500909,AUGUSTO CORRÊA,45.04,37.1,1099.619
1500958,AURORA DO PARÁ,30.77,14.65,1811.84
1501006,AVEIRO,20.06,0.93,17074.053
1501105,BAGRE,44.67,5.43,4397.321
1501204,BAIÃO,50.31,9.81,3759.834
1501253,BANNACH,37.37,1.16,2956.649
1501303,BARCARENA,36.35,76.21,1310.338
1501402,BELÉM,99.14,1315.27,1059.466
1501451,BELTERRA,41.99,3.71,4398.418
2914307,IRAMAIA,45.1,6.16,1708.115
2914406,IRAQUARA,29.9,21.96,991.822
2914505,IRARÁ,40.9,98.87,267.88
2914604,IRECÊ,92.2,207.45,319.174
2914653,ITABELA,75.3,33.37,924.914
2914703,ITABERABA,78.7,26.3,2386.39
2914802,ITABUNA,97.5,473.5,401.028
2914901,ITACARÉ,56.1,32.96,726.265
2915007,ITAETÉ,41.6,12.35,1331.822
2915106,ITAGI,78.2,50.36,310.621
2915205,ITAGIBÁ,63,19.26,810.993
2915304,ITAGIMIRIM,79.5,8.47,876.8
2915353,ITAGUAÇU DA BAHIA,19.7,2.97,4310.238
2915403,ITAJU DO COLÔNIA,80.2,5.98,1225.287
2915502,ITAJUÍPE,79.9,74.11,270.752
2915601,ITAMARAJU,78.9,27.73,2360.584
2915700,ITAMARI,73.9,71.14,143.479
2915809,ITAMBÉ,85.3,16.02,1534.575
2915908,ITANAGRA,30.6,15.49,533.634
2916005,ITANHÉM,70.3,13.81,1394.174
1506401,SANTA CRUZ DO ARARI,48.98,7.58,1076.652
3137007,LADAINHA,25.36,19.62,866.29
3303005,MIRACEMA,92.17,88.15,303.27
3303104,NATIVIDADE,79.87,39,387.073
1501501,BENEVIDES,55.98,275,187.826
1501576,BOM JESUS DO TOCANTINS,53.33,5.43,2816.604
1501600,BONITO,28.08,23.23,586.976
1501709,BRAGANÇA,64.14,54.13,2124.734
1501725,BRASIL NOVO,43.97,2.47,6362.575
2403509,ESPÍRITO SANTO,47.73,77.11,135.838
2204907,ISAÍAS COELHO,22.69,10.59,800.688
2919702,MACARANI,79.8,13.28,1210.106
2919801,MACAÚBAS,32.8,15.71,2459.102
2919900,MACURURÉ,35.4,3.52,2545.856
1506500,SANTA IZABEL DO PARÁ,72.31,82.86,717.662
1506559,SANTA LUZIA DO PARÁ,44.75,14.32,1346.502
2920304,MALHADA DE PEDRAS,38.2,16.01,550.55
3138302,LEANDRO FERREIRA,67.15,9.1,352.005
3138351,LEME DO PRADO,36.66,17.15,280.036
3138401,LEOPOLDINA,89.39,54.22,943.077
2513653,JOCA CLAUDINO,32.12,35.33,71.799
2910602,ESPLANADA,63.5,24.84,1299.355
2910701,EUCLIDES DA CUNHA,48.7,25.18,2025.368
2910727,EUNÁPOLIS,93.2,84.98,1425.97
1501758,BREJO GRANDE DO ARAGUAIA,58.88,5.68,1288.477
2205409,JOAQUIM PIRES,30.8,18.68,740.561
2921609,MORPARÁ,66.9,4.88,2093.872
2921708,MORRO DO CHAPÉU,57.6,6.12,5744.969
3139102,MADRE DE DEUS DE MINAS,76.1,9.95,492.909
2706703,PENEDO,74.6,87.61,688.452
2906873,CAPIM GROSSO,81.9,79.06,464.776
2406007,JOSÉ DA PENHA,60.36,49.88,117.635
5106828,PORTO ESPERIDIÃO,38.1,1.9,5832.083
1507151,SÃO DOMINGOS DO ARAGUAIA,65.95,16.61,1392.464
1507201,SÃO DOMINGOS DO CAPIM,22.08,17.79,1686.765
1507300,SÃO FÉLIX DO XINGU,49.39,1.08,84212.91
1507409,SÃO FRANCISCO DO PARÁ,33.95,31.4,479.441
1507458,SÃO GERALDO DO ARAGUAIA,53.11,8.08,3168.384
1508308,VISEU,32.44,11.54,4972.897
1508357,VITÓRIA DO XINGU,39.92,4.28,3089.537
2922003,MUCURI,76.3,20.23,1787.626
3139607,MANTENA,78.41,39.57,685.208
3500758,ALAMBARI,75.18,30.66,159.6
2908606,CONDE,51.4,24.48,931.106
1501782,BREU BRANCO,55.83,13.32,3941.904
1501808,BREVES,50.14,9.72,9566.572
1501907,BUJARU,31.52,25.56,994.691
1501956,CACHOEIRA DO PIRIÁ,20.89,10.76,2419.6
1502004,CACHOEIRA DO ARARI,35.98,6.59,3100.261
1502103,CAMETÁ,43.71,39.23,3081.367
1502152,CANAÃ DOS CARAJÁS,77.58,8.49,3146.821
1502202,CAPANEMA,79.72,103.72,621.483
1502301,CAPITÃO POÇO,41.32,17.9,2901.026
1502400,CASTANHAL,88.58,168.29,1029.3
1502509,CHAVES,11.95,1.61,12534.995
5106851,PORTO ESTRELA,40.2,1.77,2045.467
5107008,POXORÉU,67.7,2.55,6915.298
5107040,PRIMAVERA DO LESTE,94.6,9.52,5470.383
5107065,QUERÊNCIA,45.8,0.73,17799.988
5107107,SÃO JOSÉ DOS QUATRO MARCOS,76.4,14.74,1282.763
