ano,vacina_id,cobertura,doses,regiao_cod_ibge
2014,7,48.53,448262,2
2014,7,76.98,770697,3
2014,7,70.66,252993,4
2014,7,74.92,162832,5
2014,8,92.92,267966,1
2014,8,97.03,784209,2
2014,8,110.25,1136279,3
2014,8,105.69,375507,4
2014,8,117.48,236836,5
2014,9,64.25,281662,1
2014,9,67.02,721317,2
2014,9,76.49,1029959,3
2014,9,70.45,312217,4
2014,9,103.7,226580,5
2014,10,91.72,266430,1
2014,10,96.01,775892,2
2014,10,110.03,1132381,3
2014,10,107.65,383873,4
2014,10,118.3,240309,5
2014,11,76.98,226636,1
2014,11,89.22,711151,2
2014,11,102.08,1063470,3
2014,11,98.02,351852,4
2014,11,106.86,215917,5
2014,12,92.39,266615,1
2014,12,96.25,774725,2
2014,12,109.04,1108143,3
2014,12,104.9,371587,4
2014,12,116.45,233967,5
2014,13,82.34,235997,1
2014,13,94.31,745965,2
2014,13,107.93,1125230,3
2014,13,104.45,373624,4
2014,13,116.44,233494,5
2014,14,78.08,223867,1
2014,14,90.16,708713,2
2014,14,102.79,1048440,3
2014,14,99.03,351155,4
2014,14,109.27,219252,5
2014,15,94.17,277559,1
2014,15,98.54,803371,2
2014,15,109.61,1119277,3
2014,15,103.14,370875,4
2014,15,115.17,239560,5
2014,17,79.03,231951,1
2014,17,88.67,729567,2
2014,17,100.24,1016677,3
2014,17,88.48,318057,4
2014,17,101.04,210661,5
2014,18,89.11,259270,1
2014,18,95.45,755208,2
2014,18,108.71,1095020,3
2014,18,105.61,370887,4
2014,18,115.42,233861,5
2014,19,76.25,226601,1
2014,19,89.65,769531,2
2014,19,103.81,1075937,3
2014,19,82.91,332179,4
2014,19,101.06,215573,5
2014,20,90.27,259920,1
2014,20,96.89,772311,2
2014,20,109.27,1126044,3
2014,20,105.63,376154,4
2014,20,117.92,236134,5
2014,21,81.01,233218,1
2014,21,88.99,718623,2
2014,21,99.55,1020798,3
2014,21,92.01,324959,4
2014,21,103.92,210866,5
2014,22,124.09,357717,1
2014,22,123.07,973100,2
2014,22,121.58,1239785,3
2014,22,114.76,423791,4
2014,22,133.84,282090,5
2014,23,83.17,239559,1
2014,23,96.59,792660,2
2014,23,109.74,1085645,3
2014,23,98.56,351408,4
2014,23,113.65,228559,5
2015,1,83.2,324144,1
2015,1,82.63,866061,2
2015,1,98.37,1201986,3
2015,1,103.38,410065,4
2015,1,102.18,247268,5
2015,2,93.86,266003,1
2015,2,98.61,790674,2
2015,2,109.62,1148008,3
2015,2,108.28,382448,4
2015,2,106.44,224491,5
2015,3,27.57,87072,1
2015,3,35.13,362661,2
2015,3,51.17,619199,3
2015,3,30.16,137829,4
2015,3,41.54,98157,5
2015,4,0,18558,1
2015,4,0,54113,2
2015,4,0,35374,3
2015,4,0,19044,4
2015,4,0,14635,5
2015,5,34.39,101659,1
2015,5,45.39,419909,2
2015,5,49.39,577631,3
2015,5,28.61,121531,4
2015,5,47.55,101685,5
2015,6,80.54,235447,1
2015,6,30.13,305539,2
2015,6,46.22,356947,3
2015,6,84.65,222141,4
2015,6,94.49,204379,5
2015,7,93.14,270874,1
2015,7,96.78,774422,2
2015,7,109.78,1159085,3
2015,7,111.24,393179,4
2015,7,105.28,219407,5
2015,8,94.67,268311,1
2015,8,99.13,794289,2
2015,8,111.56,1163320,3
2015,8,108.9,383749,4
2015,8,106.71,226926,5
2015,9,66.05,279495,1
2015,9,70.08,745868,2
2015,9,79.19,1042201,3
2015,9,71.27,347632,4
2015,9,94.43,223675,5
2015,10,95.38,272500,1
2015,10,99.61,799414,2
2015,10,110.04,1156661,3
2015,10,110.14,392593,4
2015,10,107.33,228282,5
2015,11,79.25,225211,1
2015,11,89.97,707799,2
2015,11,102.51,1067928,3
2015,11,100.6,348792,4
2015,11,93.68,199442,5
2015,12,93.77,265881,1
2015,12,98.49,787388,2
2015,12,109.44,1137442,3
